"AssetId","Title","Query","MatchTitle","SoundUrl","PreviewUrl","License","DownloadedFile","Status"
"sfx_school_bell_muffled","Muffled School Bell","school bell classroom","Timbre del recreo y ambiente en pasillo de instituto de Huesca.WAV","https://freesound.org/people/Juan.Solo/sounds/461068/","https://cdn.freesound.org/previews/461/461068_8423797-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_school_bell_muffled.mp3","downloaded"
"sfx_footsteps_tile_echo","Footsteps on School Tile","footsteps hallway tile","Footsteps","https://freesound.org/people/aevoy/sounds/254840/","https://cdn.freesound.org/previews/254/254840_4718215-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_footsteps_tile_echo.mp3","downloaded"
"sfx_computer_mouse_keyboard","Computer Work Loop","mouse keyboard typing","Keyboard type and mouse click.WAV","https://freesound.org/people/beansqueso31/sounds/223099/","https://cdn.freesound.org/previews/223/223099_3600926-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_computer_mouse_keyboard.mp3","downloaded"
"sfx_leaves_crunch_outside","Dry Leaves Crunch Outside","leaves crunch footstep","Footsteps, Dry Leaves, D.wav","https://freesound.org/people/InspectorJ/sounds/329600/","https://cdn.freesound.org/previews/329/329600_5121236-lq.mp3","Attribution 4.0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_leaves_crunch_outside.mp3","downloaded"
"sfx_chair_squeak","Chair Squeak","desk chair squeak","squeaky desk chair.wav","https://freesound.org/people/Kiyoshiakira/sounds/436777/","https://cdn.freesound.org/previews/436/436777_7085413-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_chair_squeak.mp3","downloaded"
"sfx_window_slide_open","Window Slide Open Violently","window slide open","window metal heavy slide open close creak brutal on offmic.wav","https://freesound.org/people/kyles/sounds/407326/","https://cdn.freesound.org/previews/407/407326_612689-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_window_slide_open.mp3","downloaded"
"sfx_running_footsteps_fade","Running Footsteps Fading Away","running footsteps pavement","Running footsteps on pavement.WAV","https://freesound.org/people/thomasanthony321/sounds/682771/","https://cdn.freesound.org/previews/682/682771_14662423-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_running_footsteps_fade.mp3","downloaded"
"sfx_sd_insert_device_chime","SD Card Insert and Device Chime","device chime computer","Long drone, chimes.wav","https://freesound.org/people/Nosebleed%20Cinema/sounds/91283/","https://cdn.freesound.org/previews/91/91283_1438541-lq.mp3","Attribution 4.0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_sd_insert_device_chime.mp3","downloaded"
"sfx_mouse_click_single","Mouse Click","mouse click","mouse-click-double-00.flac","https://freesound.org/people/pbimal/sounds/534104/","https://cdn.freesound.org/previews/534/534104_11830391-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_mouse_click_single.mp3","downloaded"
"sfx_phone_buzz_desk","Phone Buzz on Desk","phone vibration desk","FX LuMu cellphone vibrating buzzing Huawei Y6 desk 500ms B.wav","https://freesound.org/people/LudwigMueller/sounds/459069/","https://cdn.freesound.org/previews/459/459069_1442200-lq.mp3","Creative Commons 0","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_phone_buzz_desk.mp3","downloaded"
