"AssetId","Title","SuggestedLength","SearchQuery","SearchSort","MatchTitle","SoundUrl","PreviewUrl","License","Downloads","MatchedDurationSeconds","ExpectedMinSeconds","ExpectedMaxSeconds","TargetDurationSeconds","DurationPenaltySeconds","DurationInRange","DownloadedFile","Status"
"sfx_school_bell_muffled","Muffled School Bell","2-4 sec","school bell classroom","Downloads+(most+first)","Synth Beep.wav","https://freesound.org/people/heyim89yearsold/sounds/259892/","https://cdn.freesound.org/previews/259/259892_242967-lq.mp3","","1368","4.125","2","4","3","0.125","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_school_bell_muffled.mp3","downloaded"
"sfx_footsteps_tile_echo","Footsteps on School Tile","3-6 sec loop or one-shot sequence","footsteps hallway tile","Downloads+(most+first)","Footsteps","https://freesound.org/people/aevoy/sounds/254840/","https://cdn.freesound.org/previews/254/254840_4718215-lq.mp3","Creative Commons 0","3216","19.5537","3","6","4.5","13.554","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_footsteps_tile_echo.mp3","downloaded"
"sfx_computer_mouse_keyboard","Computer Work Loop","5-10 sec","mouse keyboard typing","Downloads+(most+first)","Keyboard","https://freesound.org/people/ScouseMouseJB/sounds/329053/","https://cdn.freesound.org/previews/329/329053_5284496-lq.mp3","Attribution 4.0","3312","8.30766","5","10","7.5","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_computer_mouse_keyboard.mp3","downloaded"
"sfx_leaves_crunch_outside","Dry Leaves Crunch Outside","1-2 sec","leaves crunch footstep","Downloads+(most+first)","Footstep_OnLeaves.wav","https://freesound.org/people/Tdude9000/sounds/138329/","https://cdn.freesound.org/previews/138/138329_2531092-lq.mp3","","822","0.957708","1","2","1.5","0.042","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_leaves_crunch_outside.mp3","downloaded"
"sfx_chair_squeak","Chair Squeak","1-2 sec","desk chair squeak","Downloads+(most+first)","chair squeak.wav","https://freesound.org/people/semccab/sounds/154380/","https://cdn.freesound.org/previews/154/154380_2592496-lq.mp3","Creative Commons 0","1979","1.77188","1","2","1.5","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_chair_squeak.mp3","downloaded"
"sfx_window_slide_open","Window Slide Open Violently","1-2 sec","window slide open","Downloads+(most+first)","Window Opening Squeaks Slide.wav","https://freesound.org/people/RutgerMuller/sounds/51047/","https://cdn.freesound.org/previews/51/51047_179538-lq.mp3","Creative Commons 0","6569","1.3954","1","2","1.5","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_window_slide_open.mp3","downloaded"
"sfx_running_footsteps_fade","Running Footsteps Fading Away","2-4 sec","running footsteps pavement","Downloads+(most+first)","running hard surface.wav","https://freesound.org/people/bevangoldswain/sounds/54779/","https://cdn.freesound.org/previews/54/54779_671617-lq.mp3","Sampling+","38842","2.85093","2","4","3","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_running_footsteps_fade.mp3","downloaded"
"sfx_sd_insert_device_chime","SD Card Insert and Device Chime","1-3 sec","device chime computer","Downloads+(most+first)","Long drone, chimes.wav","https://freesound.org/people/Nosebleed%20Cinema/sounds/91283/","https://cdn.freesound.org/previews/91/91283_1438541-lq.mp3","Attribution 4.0","724","189.818","1","3","2","186.818","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_sd_insert_device_chime.mp3","downloaded"
"sfx_mouse_click_single","Mouse Click","under 1 sec","mouse click","Downloads+(most+first)","Click.m4a","https://freesound.org/people/SplatFreeSound/sounds/413690/","https://cdn.freesound.org/previews/413/413690_7950035-lq.mp3","","34281","0.998458","0","1","0.75","0","True","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_mouse_click_single.mp3","downloaded"
"sfx_phone_buzz_desk","Phone Buzz on Desk","1-2 sec","phone vibration desk","Downloads+(most+first)","Cell Notification Vibrate","https://freesound.org/people/CoryCoolguy/sounds/688629/","https://cdn.freesound.org/previews/688/688629_14998729-lq.mp3","Creative Commons 0","587","0.917188","1","2","1.5","0.083","False","D:\DEVELOPMENT\vn-copilot\SFX\freesound_previews\sfx_phone_buzz_desk.mp3","downloaded"
